skill_category,keywords,points,max_total,explanation,notes
ai,LLM;Agent;RAG;GenAI;prompt;Copilot,8,20,AI/LLM/Agent/RAG 技能,phase2-lf
erp,ERP;SAP;Odoo;enterprise system;信息化,7,20,ERP/SAP/Odoo/信息化技能,phase2-lf
bi,BI;SQL;dashboard;data pipeline;analytics,6,20,BI/数据技能,phase2-lf
python_api,Python;REST API;FastAPI;API,5,20,Python/API 技能,phase2-lf
integration,integration;workflow;automation;ETL;集成;自动化,5,20,Integration/Automation 技能,phase2-lf
cloud_saas,SaaS;cloud;AWS;Azure;GCP,3,20,Cloud/SaaS 技能,phase2-lf
